state,ab,diab,obes,region,pop
Alabama,AL,0.141,0.363,South,4875120
Alaska,AK,0.074,0.342,West,739786
Arizona,AZ,0.104,0.295,West,7048876
Arkansas,AR,0.122,0.35,South,3002997
California,CA,0.105,0.251,West,39399349
Colorado,CO,0.074,0.226,West,5615902
Connecticut,CT,0.098,0.269,Northeast,3573880
Delaware,DE,0.113,0.318,South,957078
District of Columbia,DC,0.078,0.23,South,695691
Florida,FL,0.105,0.284,South,20976812
Georgia,GA,0.114,0.316,South,10413055
Hawaii,HI,0.109,0.238,West,1424203
Idaho,ID,0.087,0.293,West,1718904
Illinois,IL,0.11,0.311,Midwest,12786196
Indiana,IN,0.118,0.336,Midwest,6660082
Iowa,IA,0.096,0.364,Midwest,3143637
Kansas,KS,0.105,0.324,Midwest,2910689
Kentucky,KY,0.129,0.343,South,4453874
Louisiana,LA,0.136,0.362,South,4670818
Maine,ME,0.107,0.291,Northeast,1335063
Maryland,MD,0.104,0.313,South,6024891
Massachusetts,MA,0.095,0.259,Northeast,6863246
Michigan,MI,0.11,0.323,Midwest,9976447
Minnesota,MN,0.078,0.284,Midwest,5568155
Mississippi,MS,0.142,0.373,South,2989663
Missouri,MO,0.104,0.325,Midwest,6108612
Montana,MT,0.079,0.253,West,1053090
Nebraska,NE,0.101,0.328,Midwest,1917575
Nevada,NV,0.104,0.267,West,2972405
New Hampshire,NH,0.084,0.281,Northeast,1349767
New Jersey,NJ,0.11,0.273,Northeast,8888543
New Mexico,NM,0.107,0.284,West,2093395
New York,NY,0.105,0.257,Northeast,19590719
North Carolina,NC,0.114,0.321,South,10270800
North Dakota,ND,0.09,0.332,Midwest,755176
Ohio,OH,0.113,0.338,Midwest,11664129
Oklahoma,OK,0.127,0.365,South,3932640
Oregon,OR,0.096,0.294,West,4146592
Pennsylvania,PA,0.106,0.316,Northeast,12790447
Rhode Island,RI,0.089,0.3,Northeast,1056486
South Carolina,SC,0.134,0.341,South,5021219
South Dakota,SD,0.111,0.319,Midwest,873286
Tennessee,TN,0.131,0.328,South,6708794
Texas,TX,0.119,0.33,South,28322717
Utah,UT,0.071,0.253,West,3103118
Vermont,VT,0.082,0.276,Northeast,624525
Virginia,VA,0.105,0.301,South,8465207
Washington,WA,0.091,0.277,West,7425432
West Virginia,WV,0.152,0.381,South,1817048
Wisconsin,WI,0.091,0.32,Midwest,5792051
Wyoming,WY,0.09,0.288,West,578934
